Name,Pace,OffensiveRating,TrueShooting%,TotalRebound%,Steal%,Turnover%,OppTrueShooting%
ABILENE-CHRISTIAN,69.0,100.7,.526,50.5,14.1,17.8,.591
AIR-FORCE,67.3,92.3,.521,45.0,8.2,19.8,.595
AKRON,72.1,124.3,.619,53.8,10.7,13.3,.531
ALABAMA,74.6,122.5,.594,50.5,8.6,11.4,.524
ALABAMA-AM,67.9,106.3,.547,50.0,8.7,14.7,.545
ALABAMA-STATE,71.9,101.7,.514,50.0,11.4,15.5,.561
ALBANY-NY,66.6,108.1,.548,51.5,10.4,15.6,.551
ALCORN-STATE,69.4,96.0,.512,44.9,11.0,17.2,.584
AMERICAN,67.5,110.6,.558,48.7,11.4,13.7,.566
APPALACHIAN-STATE,64.7,110.9,.536,53.5,7.6,12.8,.499
ARIZONA,71.8,120.3,.588,57.8,11.2,13.0,.483
ARIZONA-STATE,70.6,109.6,.559,47.8,10.0,14.5,.559
ARKANSAS,72.6,122.8,.599,50.8,10.0,10.7,.545
ARKANSAS-STATE,72.5,113.1,.564,55.3,10.2,16.2,.537
ARKANSAS-PINE-BLUFF,72.6,105.8,.555,48.2,9.9,16.4,.562
ARMY,67.6,104.8,.526,50.4,8.5,14.8,.577
AUBURN,69.3,119.5,.574,52.4,10.8,12.4,.577
AUSTIN-PEAY,71.0,115.0,.575,50.8,13.0,13.2,.545
BALL-STATE,65.8,101.7,.515,47.5,11.4,14.0,.552
BAYLOR,70.0,117.9,.579,53.4,9.4,13.9,.553
BELLARMINE,66.4,119.6,.632,46.5,9.1,13.9,.610
BELMONT,70.2,118.6,.622,52.2,8.7,15.7,.531
BETHUNE-COOKMAN,71.3,104.8,.552,50.2,9.8,16.8,.532
BINGHAMTON,65.1,102.3,.556,48.1,7.8,16.8,.560
BOISE-STATE,67.0,114.2,.578,55.7,6.7,14.7,.555
BOSTON-COLLEGE,66.4,100.0,.499,49.4,7.2,13.3,.520
BOSTON-UNIVERSITY,63.8,115.9,.610,51.7,7.3,15.8,.562
BOWLING-GREEN,72.0,112.7,.570,52.0,13.6,13.9,.542
BRADLEY,67.9,110.5,.550,48.8,11.4,12.1,.557
BRIGHAM-YOUNG,70.7,119.7,.582,53.0,10.1,12.6,.542
BROWN,67.3,102.7,.528,50.5,11.7,16.2,.545
BRYANT,65.0,98.6,.517,48.7,9.0,17.3,.547
BUCKNELL,66.9,99.5,.525,47.3,10.7,16.7,.582
BUFFALO,67.3,115.4,.594,48.7,11.2,14.1,.578
BUTLER,69.9,111.7,.551,52.5,9.3,13.7,.541
CAL-POLY,76.4,107.6,.566,50.3,8.6,17.3,.564
CAL-STATE-BAKERSFIELD,73.0,100.2,.515,47.6,10.5,16.0,.571
CAL-STATE-FULLERTON,76.1,109.9,.564,48.0,10.7,13.3,.576
CAL-STATE-NORTHRIDGE,75.8,107.1,.534,53.9,9.2,14.9,.546
CALIFORNIA,69.4,110.8,.564,48.4,8.5,13.0,.523
CALIFORNIA-BAPTIST,67.4,106.9,.524,55.1,7.9,15.1,.506
CAMPBELL,70.8,111.8,.557,51.9,9.5,14.8,.565
CANISIUS,64.5,97.1,.504,49.5,7.6,16.9,.552
CENTRAL-ARKANSAS,69.7,113.9,.569,50.9,12.4,13.2,.566
CENTRAL-CONNECTICUT-STATE,66.0,111.4,.569,51.0,8.5,14.0,.529
CENTRAL-MICHIGAN,69.3,105.9,.551,48.1,9.5,16.0,.560
CHARLESTON-SOUTHERN,74.1,110.1,.567,51.6,6.4,15.9,.508
CHARLOTTE,64.4,111.5,.569,51.3,7.0,15.7,.547
CHATTANOOGA,68.1,112.7,.581,48.2,7.8,12.7,.538
CHICAGO-STATE,65.9,99.4,.496,46.2,12.3,13.6,.599
CINCINNATI,69.2,106.0,.533,51.7,9.1,14.4,.513
CLEMSON,65.6,112.6,.566,51.9,9.5,12.9,.525
CLEVELAND-STATE,71.5,111.6,.583,47.4,7.9,15.8,.591
COASTAL-CAROLINA,68.9,104.0,.523,51.1,6.2,13.3,.499
COLGATE,66.9,111.7,.572,50.0,8.7,13.2,.544
COLLEGE-OF-CHARLESTON,68.5,109.2,.545,50.0,8.1,13.4,.515
COLORADO,70.1,113.2,.570,49.7,9.0,12.7,.565
COLORADO-STATE,64.5,119.1,.629,52.4,8.3,16.2,.556
COLUMBIA,67.6,112.4,.563,56.2,8.6,16.1,.534
CONNECTICUT,66.4,116.8,.580,53.9,10.5,14.1,.504
COPPIN-STATE,69.4,94.0,.500,47.7,9.2,19.0,.588
CORNELL,72.6,121.4,.624,51.3,8.3,14.3,.576
CREIGHTON,68.5,109.9,.566,49.6,8.5,14.6,.536
DARTMOUTH,69.7,108.2,.567,49.7,7.1,15.4,.543
DAVIDSON,64.9,110.8,.560,49.9,10.1,13.8,.531
DAYTON,68.3,108.7,.572,48.9,12.4,15.6,.543
DELAWARE,64.2,103.3,.566,46.9,8.6,16.8,.550
DELAWARE-STATE,66.9,90.8,.476,47.2,11.9,17.0,.569
DENVER,69.5,119.2,.590,49.8,6.6,12.3,.582
DEPAUL,67.9,104.2,.534,49.5,10.2,15.5,.534
DETROIT-MERCY,70.0,110.2,.543,52.1,8.5,13.7,.549
DRAKE,68.1,109.5,.553,49.3,8.0,13.1,.544
DREXEL,65.7,103.6,.532,50.9,9.3,16.4,.513
DUKE,67.3,123.2,.603,57.5,11.9,13.2,.486
DUQUESNE,70.2,110.8,.570,50.9,10.9,15.6,.556
EAST-CAROLINA,69.3,102.0,.507,50.4,9.2,14.8,.552
EAST-TENNESSEE-STATE,66.9,115.1,.585,51.2,13.0,13.3,.537
EAST-TEXAS-AM,69.3,101.2,.534,47.2,10.5,16.5,.546
EASTERN-ILLINOIS,66.6,99.6,.517,48.1,11.5,16.1,.537
